
// Coordinates:
//	U	V	X	Y	Z

// Floor 0-2
	0	0	-0.5	0	-0.5
	1	0	+0.5	0	-0.5
	0	1	-0.5	0	+0.5

	1	0	+0.5	0	-0.5
	1	1	+0.5	0	+0.5
	0	1	-0.5	0	+0.5

// House 2-16

// Walls 2-10
// Front side 2-4
	0	0	-0.25	+0.5	0.25
	1	0	+0.25	+0.5	0.25
	1	1	+0.25	+0	0.25

	0	0	-0.25	+0.5	0.25
	1	1	+0.25	+0	0.25
	0	1	-0.25	+0	0.25
// Back side 4-6
	1	0	-0.25	+0.5	-0.25
	0	0	+0.25	+0.5	-0.25
	0	1	+0.25	+0	-0.25

	1	0	-0.25	+0.5	-0.25
	0	1	+0.25	+0	-0.25
	1	1	-0.25	+0	-0.25
// Left side 6-8
	0	0	-0.25	+0.5	-0.25
	1	0	-0.25	+0.5	+0.25
	1	1	-0.25	+0	+0.25

	0	0	-0.25	+0.5	-0.25
	1	1	-0.25	+0	+0.25
	0	1	-0.25	+0	-0.25
// Right side 8-10
	1	0	0.25	+0.5	-0.25
	0	0	0.25	+0.5	+0.25
	0	1	0.25	+0	+0.25

	1	0	0.25	+0.5	-0.25
	0	1	0.25	+0	+0.25
	1	1	0.25	+0	-0.25

// Attic 10-14
// Front side 11
	0	0	-0.25	0.75	+0.25
	1	0.5	+0.25	0.5	+0.25
	0	0.5	-0.25	0.5	+0.25
// Back side 12
	1	0	-0.25	0.75	-0.25
	0	0.5	+0.25	0.5	-0.25
	0	0.5	-0.25	0.5	-0.25
// Left side 13-14
	0	0	-0.25	0.75	-0.25
	1	0	-0.25	0.75	+0.25
	1	0.5	-0.25	0.5	+0.25

	0	0	-0.25	0.75	-0.25
	1	0.5	-0.25	0.5	+0.25
	0	0.5	-0.25	0.5	-0.25

// Roof 14-16
	0	0	-0.25	0.75	+0.25
	1	0	-0.25	0.75	-0.25
	1	1	+0.25	0.5	-0.25

	0	0	-0.25	0.75	+0.25
	1	1	+0.25	0.5	-0.25
	0	1	+0.25	0.5	+0.25

//Flower plane 16-18
	0	0	-0.052	+0.14	+0
	1	0	+0.052	+0.14	+0
	1	1	+0.052	+0	+0

	0	0	-0.052	+0.14	+0
	1	1	+0.052	+0	+0
	0	1	-0.052	+0	+0
